Character,NFD Code Points,NFC Code Points
"t̓l","U+0074 U+0313 U+006C","U+0074 U+0313 U+006C"
"t̓ᶿ","U+0074 U+0313 U+1DBF","U+0074 U+0313 U+1DBF"
"t̕","U+0074 U+0315","U+0074 U+0315"
"t̕s","U+0074 U+0315 U+0073","U+0074 U+0315 U+0073"
"t̕ł","U+0074 U+0315 U+0142","U+0074 U+0315 U+0142"
"t̲s̲","U+0074 U+0332 U+0073 U+0332","U+0074 U+0332 U+0073 U+0332"
"t̲s̲'","U+0074 U+0332 U+0073 U+0332 U+0027","U+0074 U+0332 U+0073 U+0332 U+0027"
"t̲s̲’","U+0074 U+0332 U+0073 U+0332 U+2019","U+0074 U+0332 U+0073 U+0332 U+2019"
"tᶿ","U+0074 U+1DBF","U+0074 U+1DBF"
"t’","U+0074 U+2019","U+0074 U+2019"
"u","U+0075","U+0075"
"u:","U+0075 U+003A","U+0075 U+003A"
"uu","U+0075 U+0075","U+0075 U+0075"
"u·","U+0075 U+00B7","U+0075 U+00B7"
"uˈu","U+0075 U+02C8 U+0075","U+0075 U+02C8 U+0075"
"u̓","U+0075 U+0313","U+0075 U+0313"
"u̱","U+0075 U+0331","U+0075 U+0331"
"u̲","U+0075 U+0332","U+0075 U+0332"
"u’","U+0075 U+2019","U+0075 U+2019"
"v","U+0076","U+0076"
"v́","U+0076 U+0301","U+0076 U+0301"
"w","U+0077","U+0077"
"w'","U+0077 U+0027","U+0077 U+0027"
"waa","U+0077 U+0061 U+0061","U+0077 U+0061 U+0061"
"we","U+0077 U+0065","U+0077 U+0065"
"wea","U+0077 U+0065 U+0061","U+0077 U+0065 U+0061"
"wh","U+0077 U+0068","U+0077 U+0068"
"wi","U+0077 U+0069","U+0077 U+0069"
"wii","U+0077 U+0069 U+0069","U+0077 U+0069 U+0069"
"wuh","U+0077 U+0075 U+0068","U+0077 U+0075 U+0068"
"wą","U+0077 U+0061 U+0328","U+0077 U+0105"
"wąą","U+0077 U+0061 U+0328 U+0061 U+0328","U+0077 U+0105 U+0105"
"węą","U+0077 U+0065 U+0328 U+0061 U+0328","U+0077 U+0119 U+0105"
"w̓","U+0077 U+0313","U+0077 U+0313"
"w̲u̲h̲","U+0077 U+0332 U+0075 U+0332 U+0068 U+0332","U+0077 U+0332 U+0075 U+0332 U+0068 U+0332"
"x","U+0078","U+0078"
"xv","U+0078 U+0076","U+0078 U+0076"
"xw","U+0078 U+0077","U+0078 U+0077"
"xw'","U+0078 U+0077 U+0027","U+0078 U+0077 U+0027"
"xy","U+0078 U+0079","U+0078 U+0079"
"x°","U+0078 U+00B0","U+0078 U+00B0"
"xʷ","U+0078 U+02B7","U+0078 U+02B7"
"x̄","U+0078 U+0304","U+0078 U+0304"
"x̄°","U+0078 U+0304 U+00B0","U+0078 U+0304 U+00B0"
"x̌","U+0078 U+030C","U+0078 U+030C"
"x̌v","U+0078 U+030C U+0076","U+0078 U+030C U+0076"
"x̌w","U+0078 U+030C U+0077","U+0078 U+030C U+0077"
"x̌ʷ","U+0078 U+030C U+02B7","U+0078 U+030C U+02B7"
"x̣","U+0078 U+0323","U+0078 U+0323"
"x̣ʷ","U+0078 U+0323 U+02B7","U+0078 U+0323 U+02B7"
"x̱","U+0078 U+0331","U+0078 U+0331"
"x̱w","U+0078 U+0331 U+0077","U+0078 U+0331 U+0077"
"x̱’","U+0078 U+0331 U+2019","U+0078 U+0331 U+2019"
"x̱’w","U+0078 U+0331 U+2019 U+0077","U+0078 U+0331 U+2019 U+0077"
"x’","U+0078 U+2019","U+0078 U+2019"
"x’w","U+0078 U+2019 U+0077","U+0078 U+2019 U+0077"
"y","U+0079","U+0079"
"yh","U+0079 U+0068","U+0079 U+0068"
"y̓","U+0079 U+0313","U+0079 U+0313"
"z","U+007A","U+007A"
"zh","U+007A U+0068","U+007A U+0068"
"z̓","U+007A U+0313","U+007A U+0313"
"z̲","U+007A U+0332","U+007A U+0332"
"¢","U+00A2","U+00A2"
"¢̕","U+00A2 U+0315","U+00A2 U+0315"
"°","U+00B0","U+00B0"
"·","U+00B7","U+00B7"
"Á","U+0041 U+0301","U+00C1"
"Í","U+0049 U+0301","U+00CD"
"à","U+0061 U+0300","U+00E0"
"á","U+0061 U+0301","U+00E1"
"áa","U+0061 U+0301 U+0061","U+00E1 U+0061"
"áo","U+0061 U+0301 U+006F","U+00E1 U+006F"
"â","U+0061 U+0302","U+00E2"
"ä","U+0061 U+0308","U+00E4"
"äy","U+0061 U+0308 U+0079","U+00E4 U+0079"
"æ","U+00E6","U+00E6"
"è","U+0065 U+0300","U+00E8"
"é","U+0065 U+0301","U+00E9"
"ée","U+0065 U+0301 U+0065","U+00E9 U+0065"
"éi","U+0065 U+0301 U+0069","U+00E9 U+0069"
"ê","U+0065 U+0302","U+00EA"
"ë","U+0065 U+0308","U+00EB"
"ì","U+0069 U+0300","U+00EC"
"ìì","U+0069 U+0300 U+0069 U+0300","U+00EC U+00EC"
"í","U+0069 U+0301","U+00ED"
"íi","U+0069 U+0301 U+0069","U+00ED U+0069"
"î","U+0069 U+0302","U+00EE"
"ï","U+0069 U+0308","U+00EF"
"ò","U+006F U+0300","U+00F2"
"òò","U+006F U+0300 U+006F U+0300","U+00F2 U+00F2"
"ó","U+006F U+0301","U+00F3"
"óo","U+006F U+0301 U+006F","U+00F3 U+006F"
"ó̱o","U+006F U+0331 U+0301 U+006F","U+00F3 U+0331 U+006F"
"ô","U+006F U+0302","U+00F4"
"ù","U+0075 U+0300","U+00F9"
"ú","U+0075 U+0301","U+00FA"
"úu","U+0075 U+0301 U+0075","U+00FA U+0075"
"û","U+0075 U+0302","U+00FB"
"ü","U+0075 U+0308","U+00FC"
"üü","U+0075 U+0308 U+0075 U+0308","U+00FC U+00FC"
"üˈü","U+0075 U+0308 U+02C8 U+0075 U+0308","U+00FC U+02C8 U+00FC"
"ÿ","U+0079 U+0308","U+00FF"
"ā","U+0061 U+0304","U+0101"
"ā́","U+0061 U+0304 U+0301","U+0101 U+0301"
"ą","U+0061 U+0328","U+0105"
"ąw","U+0061 U+0328 U+0077","U+0105 U+0077"
"ąy","U+0061 U+0328 U+0079","U+0105 U+0079"
"ąą","U+0061 U+0328 U+0061 U+0328","U+0105 U+0105"
"ą̀","U+0061 U+0328 U+0300","U+0105 U+0300"
"ą́","U+0061 U+0328 U+0301","U+0105 U+0301"
"ą̂","U+0061 U+0328 U+0302","U+0105 U+0302"
"ą̄","U+0061 U+0328 U+0304","U+0105 U+0304"
"ą̄́","U+0061 U+0328 U+0304 U+0301","U+0105 U+0304 U+0301"
"ą̈","U+0061 U+0328 U+0308","U+0105 U+0308"
"ą̈w","U+0061 U+0328 U+0308 U+0077","U+0105 U+0308 U+0077"
"ą̈y","U+0061 U+0328 U+0308 U+0079","U+0105 U+0308 U+0079"
"ą̌","U+0061 U+0328 U+030C","U+0105 U+030C"
"Ć","U+0043 U+0301","U+0106"
"č","U+0063 U+030C","U+010D"
"č̓","U+0063 U+030C U+0313","U+010D U+0313"
"ē","U+0065 U+0304","U+0113"
"ę","U+0065 U+0328","U+0119"
"ęą","U+0065 U+0328 U+0061 U+0328","U+0119 U+0105"
"ę̀","U+0065 U+0328 U+0300","U+0119 U+0300"
"ę́","U+0065 U+0328 U+0301","U+0119 U+0301"
"ę̂","U+0065 U+0328 U+0302","U+0119 U+0302"
"ę̄","U+0065 U+0328 U+0304","U+0119 U+0304"
"ę̄́","U+0065 U+0328 U+0304 U+0301","U+0119 U+0304 U+0301"
"ę̌","U+0065 U+0328 U+030C","U+0119 U+030C"
"ě","U+0065 U+030C","U+011B"
"ħ","U+0127","U+0127"
"ī","U+0069 U+0304","U+012B"
"ī́","U+0069 U+0304 U+0301","U+012B U+0301"
"į","U+0069 U+0328","U+012F"
"įį","U+0069 U+0328 U+0069 U+0328","U+012F U+012F"
"į̀","U+0069 U+0328 U+0300","U+012F U+0300"
"į̀į̀","U+0069 U+0328 U+0300 U+0069 U+0328 U+0300","U+012F U+0300 U+012F U+0300"
"į́","U+0069 U+0328 U+0301","U+012F U+0301"
"į̂","U+0069 U+0328 U+0302","U+012F U+0302"
"į̄","U+0069 U+0328 U+0304","U+012F U+0304"
"į̄́","U+0069 U+0328 U+0304 U+0301","U+012F U+0304 U+0301"
"į̌","U+0069 U+0328 U+030C","U+012F U+030C"
"ı","U+0131","U+0131"
"ı́","U+0131 U+0301","U+0131 U+0301"
"ı̨","U+0131 U+0328","U+0131 U+0328"
"ı̨́","U+0131 U+0328 U+0301","U+0131 U+0328 U+0301"
"ł","U+0142","U+0142"
"ŋ","U+014B","U+014B"
"ō","U+006F U+0304","U+014D"
"Ś","U+0053 U+0301","U+015A"
"ŝ","U+0073 U+0302","U+015D"
"š","U+0073 U+030C","U+0161"
"Ŧ","U+0166","U+0166"
"ū","U+0075 U+0304","U+016B"
"ū́","U+0075 U+0304 U+0301","U+016B U+0301"
"ų","U+0075 U+0328","U+0173"
"ų̀","U+0075 U+0328 U+0300","U+0173 U+0300"
"ų́","U+0075 U+0328 U+0301","U+0173 U+0301"
"ų̂","U+0075 U+0328 U+0302","U+0173 U+0302"
"ų̄","U+0075 U+0328 U+0304","U+0173 U+0304"
"ų̄́","U+0075 U+0328 U+0304 U+0301","U+0173 U+0304 U+0301"
"ų̈","U+0075 U+0328 U+0308","U+0173 U+0308"
"ų̌","U+0075 U+0328 U+030C","U+0173 U+030C"
"ŵ","U+0077 U+0302","U+0175"
"ƛ","U+019B","U+019B"
"ƛ̓","U+019B U+0313","U+019B U+0313"
"Ɵ","U+019F","U+019F"
"ǂ","U+01C2","U+01C2"
"ǎ","U+0061 U+030C","U+01CE"
"ǐ","U+0069 U+030C","U+01D0"
"ǒ","U+006F U+030C","U+01D2"
"ǔ","U+0075 U+030C","U+01D4"
"ǝ","U+01DD","U+01DD"
"ǝ́","U+01DD U+0301","U+01DD U+0301"
"ǥ","U+01E5","U+01E5"
"ǧ","U+0067 U+030C","U+01E7"
"ǧv","U+0067 U+030C U+0076","U+01E7 U+0076"
"ǧʷ","U+0067 U+030C U+02B7","U+01E7 U+02B7"
"ǫ","U+006F U+0328","U+01EB"
"ǫǫ","U+006F U+0328 U+006F U+0328","U+01EB U+01EB"
"ǫ̀","U+006F U+0328 U+0300","U+01EB U+0300"
